No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17995 images in 10 CATEGORIES
4 augmented images by 'crop' to be generated.
Automatically generating validation set from 5% of the data.
Extracting augmented image features from training data set.
Analyzing and extracting image features.
+----------------------+------------------+--------------+------------------+
| Raw Images Processed | Augmented Images | Elapsed Time | Percent Complete |
+----------------------+------------------+--------------+------------------+
2019-06-01 12:18:28.462949+0200 DistractedDriverCreateML[4832:408104] VPA info: plugin is INTEL.
VPA info: plugin is INTEL, AVD_id = 1080004, AVD_api.Create:0x10a1d355a
| 1                    | 5                | 3.59s        | 0%               |
| 2                    | 10               | 4.56s        | 0%               |
| 3                    | 15               | 5.45s        | 0%               |
| 4                    | 20               | 6.33s        | 0%               |
| 5                    | 25               | 7.23s        | 0%               |
| 10                   | 50               | 11.68s       | 0%               |
| 15                   | 75               | 16.15s       | 0%               |
| 20                   | 100              | 20.71s       | 0%               |
| 25                   | 125              | 25.37s       | 0%               |
| 30                   | 150              | 29.83s       | 0%               |
| 35                   | 175              | 34.38s       | 0%               |
| 40                   | 200              | 38.85s       | 0%               |
| 45                   | 225              | 43.28s       | 0.25%            |
| 50                   | 250              | 47.73s       | 0.25%            |
| 55                   | 275              | 52.26s       | 0.25%            |
| 60                   | 300              | 56.68s       | 0.25%            |
| 65                   | 325              | 1m 1s        | 0.25%            |
| 70                   | 350              | 1m 5s        | 0.25%            |
| 75                   | 375              | 1m 10s       | 0.25%            |
| 80                   | 400              | 1m 14s       | 0.25%            |
| 85                   | 425              | 1m 18s       | 0.25%            |
| 90                   | 450              | 1m 23s       | 0.5%             |
| 95                   | 475              | 1m 27s       | 0.5%             |
| 100                  | 500              | 1m 32s       | 0.5%             |
| 105                  | 525              | 1m 36s       | 0.5%             |
| 110                  | 550              | 1m 41s       | 0.5%             |
| 115                  | 575              | 1m 45s       | 0.5%             |
| 120                  | 600              | 1m 50s       | 0.5%             |
| 125                  | 625              | 1m 54s       | 0.5%             |
| 130                  | 650              | 1m 59s       | 0.75%            |
| 135                  | 675              | 2m 3s        | 0.75%            |
| 140                  | 700              | 2m 8s        | 0.75%            |
| 145                  | 725              | 2m 12s       | 0.75%            |
| 150                  | 750              | 2m 17s       | 0.75%            |
| 155                  | 775              | 2m 22s       | 0.75%            |
| 160                  | 800              | 2m 26s       | 0.75%            |
| 165                  | 825              | 2m 31s       | 0.75%            |
| 170                  | 850              | 2m 36s       | 0.75%            |
| 175                  | 875              | 2m 40s       | 1%               |
| 180                  | 900              | 2m 45s       | 1%               |
| 185                  | 925              | 2m 50s       | 1%               |
| 190                  | 950              | 2m 54s       | 1%               |
| 195                  | 975              | 2m 59s       | 1%               |
| 200                  | 1000             | 3m 3s        | 1%               |
| 205                  | 1025             | 3m 8s        | 1%               |
| 210                  | 1050             | 3m 12s       | 1%               |
| 215                  | 1075             | 3m 17s       | 1.25%            |
| 220                  | 1100             | 3m 21s       | 1.25%            |
| 225                  | 1125             | 3m 26s       | 1.25%            |
| 230                  | 1150             | 3m 31s       | 1.25%            |
| 235                  | 1175             | 3m 35s       | 1.25%            |
| 240                  | 1200             | 3m 40s       | 1.25%            |
| 245                  | 1225             | 3m 44s       | 1.25%            |
| 250                  | 1250             | 3m 49s       | 1.25%            |
| 255                  | 1275             | 3m 53s       | 1.25%            |
| 260                  | 1300             | 3m 58s       | 1.5%             |
| 265                  | 1325             | 4m 3s        | 1.5%             |
| 270                  | 1350             | 4m 7s        | 1.5%             |
| 275                  | 1375             | 4m 12s       | 1.5%             |
| 280                  | 1400             | 4m 16s       | 1.5%             |
| 285                  | 1425             | 4m 21s       | 1.5%             |
| 290                  | 1450             | 4m 25s       | 1.5%             |
| 295                  | 1475             | 4m 30s       | 1.5%             |
| 300                  | 1500             | 4m 34s       | 1.75%            |
| 305                  | 1525             | 4m 39s       | 1.75%            |
| 310                  | 1550             | 4m 43s       | 1.75%            |
| 315                  | 1575             | 4m 48s       | 1.75%            |
| 320                  | 1600             | 4m 52s       | 1.75%            |
| 325                  | 1625             | 4m 57s       | 1.75%            |
| 330                  | 1650             | 5m 1s        | 1.75%            |
| 335                  | 1675             | 5m 6s        | 1.75%            |
| 340                  | 1700             | 5m 10s       | 1.75%            |
| 345                  | 1725             | 5m 15s       | 2%               |
| 350                  | 1750             | 5m 19s       | 2%               |
| 355                  | 1775             | 5m 24s       | 2%               |
| 360                  | 1800             | 5m 28s       | 2%               |
| 365                  | 1825             | 5m 33s       | 2%               |
| 370                  | 1850             | 5m 37s       | 2%               |
| 375                  | 1875             | 5m 42s       | 2%               |
| 380                  | 1900             | 5m 46s       | 2%               |
| 385                  | 1925             | 5m 51s       | 2.25%            |
| 390                  | 1950             | 5m 55s       | 2.25%            |
| 395                  | 1975             | 6m 0s        | 2.25%            |
| 400                  | 2000             | 6m 5s        | 2.25%            |
| 405                  | 2025             | 6m 9s        | 2.25%            |
| 410                  | 2050             | 6m 14s       | 2.25%            |
| 415                  | 2075             | 6m 18s       | 2.25%            |
| 420                  | 2100             | 6m 23s       | 2.25%            |
| 425                  | 2125             | 6m 27s       | 2.25%            |
| 430                  | 2150             | 6m 32s       | 2.5%             |
| 435                  | 2175             | 6m 37s       | 2.5%             |
| 440                  | 2200             | 6m 42s       | 2.5%             |
| 445                  | 2225             | 6m 47s       | 2.5%             |
| 450                  | 2250             | 6m 51s       | 2.5%             |
| 455                  | 2275             | 6m 56s       | 2.5%             |
| 460                  | 2300             | 7m 1s        | 2.5%             |
| 465                  | 2325             | 7m 5s        | 2.5%             |
| 470                  | 2350             | 7m 10s       | 2.75%            |
| 475                  | 2375             | 7m 14s       | 2.75%            |
| 480                  | 2400             | 7m 19s       | 2.75%            |
| 485                  | 2425             | 7m 23s       | 2.75%            |
| 490                  | 2450             | 7m 28s       | 2.75%            |
| 495                  | 2475             | 7m 32s       | 2.75%            |
| 500                  | 2500             | 7m 37s       | 2.75%            |
| 505                  | 2525             | 7m 41s       | 2.75%            |
| 510                  | 2550             | 7m 46s       | 2.75%            |
| 515                  | 2575             | 7m 50s       | 3%               |
| 520                  | 2600             | 7m 55s       | 3%               |
| 525                  | 2625             | 7m 59s       | 3%               |
| 530                  | 2650             | 8m 3s        | 3%               |
| 535                  | 2675             | 8m 8s        | 3%               |
| 540                  | 2700             | 8m 12s       | 3%               |
| 545                  | 2725             | 8m 17s       | 3%               |
| 550                  | 2750             | 8m 21s       | 3%               |
| 555                  | 2775             | 8m 26s       | 3%               |
| 560                  | 2800             | 8m 30s       | 3.25%            |
| 565                  | 2825             | 8m 35s       | 3.25%            |
| 570                  | 2850             | 8m 39s       | 3.25%            |
| 575                  | 2875             | 8m 44s       | 3.25%            |
| 580                  | 2900             | 8m 48s       | 3.25%            |
| 585                  | 2925             | 8m 53s       | 3.25%            |
| 590                  | 2950             | 8m 57s       | 3.25%            |
| 595                  | 2975             | 9m 2s        | 3.25%            |
| 600                  | 3000             | 9m 6s        | 3.5%             |
| 605                  | 3025             | 9m 11s       | 3.5%             |
| 610                  | 3050             | 9m 16s       | 3.5%             |
| 615                  | 3075             | 9m 20s       | 3.5%             |
| 620                  | 3100             | 9m 25s       | 3.5%             |
| 625                  | 3125             | 9m 29s       | 3.5%             |
| 630                  | 3150             | 9m 33s       | 3.5%             |
| 635                  | 3175             | 9m 38s       | 3.5%             |
| 640                  | 3200             | 9m 42s       | 3.5%             |
| 645                  | 3225             | 9m 47s       | 3.75%            |
| 650                  | 3250             | 9m 51s       | 3.75%            |
| 655                  | 3275             | 9m 56s       | 3.75%            |
| 660                  | 3300             | 10m 0s       | 3.75%            |
| 665                  | 3325             | 10m 5s       | 3.75%            |
| 670                  | 3350             | 10m 9s       | 3.75%            |
| 675                  | 3375             | 10m 14s      | 3.75%            |
| 680                  | 3400             | 10m 18s      | 3.75%            |
| 685                  | 3425             | 10m 22s      | 4%               |
| 690                  | 3450             | 10m 27s      | 4%               |
| 695                  | 3475             | 10m 31s      | 4%               |
| 700                  | 3500             | 10m 36s      | 4%               |
| 705                  | 3525             | 10m 40s      | 4%               |
| 710                  | 3550             | 10m 45s      | 4%               |
| 715                  | 3575             | 10m 49s      | 4%               |
| 720                  | 3600             | 10m 54s      | 4%               |
| 725                  | 3625             | 10m 58s      | 4%               |
| 730                  | 3650             | 11m 2s       | 4.25%            |
| 735                  | 3675             | 11m 7s       | 4.25%            |
| 740                  | 3700             | 11m 11s      | 4.25%            |
| 745                  | 3725             | 11m 16s      | 4.25%            |
| 750                  | 3750             | 11m 20s      | 4.25%            |
| 755                  | 3775             | 11m 25s      | 4.25%            |
| 760                  | 3800             | 11m 29s      | 4.25%            |
| 765                  | 3825             | 11m 34s      | 4.25%            |
| 770                  | 3850             | 11m 38s      | 4.5%             |
| 775                  | 3875             | 11m 43s      | 4.5%             |
| 780                  | 3900             | 11m 47s      | 4.5%             |
| 785                  | 3925             | 11m 51s      | 4.5%             |
| 790                  | 3950             | 11m 56s      | 4.5%             |
| 795                  | 3975             | 12m 0s       | 4.5%             |
| 800                  | 4000             | 12m 5s       | 4.5%             |
| 805                  | 4025             | 12m 9s       | 4.5%             |
| 810                  | 4050             | 12m 14s      | 4.5%             |
| 815                  | 4075             | 12m 18s      | 4.75%            |
| 820                  | 4100             | 12m 23s      | 4.75%            |
| 825                  | 4125             | 12m 27s      | 4.75%            |
| 830                  | 4150             | 12m 32s      | 4.75%            |
| 835                  | 4175             | 12m 36s      | 4.75%            |
| 840                  | 4200             | 12m 41s      | 4.75%            |
| 845                  | 4225             | 12m 45s      | 4.75%            |
| 850                  | 4250             | 12m 49s      | 4.75%            |
| 855                  | 4275             | 12m 54s      | 5%               |
| 860                  | 4300             | 12m 58s      | 5%               |
| 865                  | 4325             | 13m 3s       | 5%               |
| 870                  | 4350             | 13m 7s       | 5%               |
| 875                  | 4375             | 13m 12s      | 5%               |
| 880                  | 4400             | 13m 16s      | 5%               |
| 885                  | 4425             | 13m 21s      | 5%               |
| 890                  | 4450             | 13m 25s      | 5%               |
| 895                  | 4475             | 13m 30s      | 5%               |
