No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 16707 images in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
+------------------+--------------+------------------+
2019-06-17 16:28:29.919335+0200 DistractedDriverCreateML[19099:1793712] flock failed to lock maps file: errno = 35
2019-06-17 16:28:30.120874+0200 DistractedDriverCreateML[19099:1793712] flock failed to lock maps file: errno = 35
| 1                | 1.88s        | 0%               |
| 2                | 2.15s        | 0%               |
| 3                | 2.38s        | 0%               |
| 4                | 2.60s        | 0%               |
| 5                | 2.81s        | 0%               |
| 10               | 3.76s        | 0%               |
| 25               | 6.57s        | 0%               |
| 50               | 11.17s       | 0.25%            |
| 75               | 15.76s       | 0.25%            |
| 100              | 20.35s       | 0.5%             |
| 125              | 24.93s       | 0.5%             |
| 150              | 29.55s       | 0.75%            |
| 175              | 34.15s       | 1%               |
| 200              | 38.75s       | 1%               |
| 225              | 43.35s       | 1.25%            |
| 250              | 47.96s       | 1.25%            |
| 275              | 52.57s       | 1.5%             |
| 300              | 57.17s       | 1.75%            |
| 325              | 1m 1s        | 1.75%            |
| 350              | 1m 6s        | 2%               |
| 375              | 1m 10s       | 2%               |
| 400              | 1m 15s       | 2.25%            |
| 425              | 1m 20s       | 2.5%             |
| 450              | 1m 24s       | 2.5%             |
| 475              | 1m 29s       | 2.75%            |
| 500              | 1m 34s       | 2.75%            |
| 525              | 1m 38s       | 3%               |
| 550              | 1m 43s       | 3.25%            |
| 575              | 1m 47s       | 3.25%            |
| 600              | 1m 52s       | 3.5%             |
| 625              | 1m 56s       | 3.5%             |
| 650              | 2m 1s        | 3.75%            |
| 675              | 2m 6s        | 4%               |
| 700              | 2m 10s       | 4%               |
| 725              | 2m 15s       | 4.25%            |
| 750              | 2m 19s       | 4.25%            |
| 775              | 2m 24s       | 4.5%             |
| 800              | 2m 29s       | 4.75%            |
| 825              | 2m 33s       | 4.75%            |
| 850              | 2m 38s       | 5%               |
| 875              | 2m 42s       | 5%               |
| 900              | 2m 47s       | 5.25%            |
| 925              | 2m 52s       | 5.5%             |
| 950              | 2m 56s       | 5.5%             |
| 975              | 3m 1s        | 5.75%            |
| 1000             | 3m 5s        | 5.75%            |
| 1025             | 3m 10s       | 6%               |
| 1050             | 3m 15s       | 6.25%            |
| 1075             | 3m 19s       | 6.25%            |
| 1100             | 3m 24s       | 6.5%             |
| 1125             | 3m 28s       | 6.5%             |
| 1150             | 3m 33s       | 6.75%            |
| 1175             | 3m 38s       | 7%               |
| 1200             | 3m 42s       | 7%               |
| 1225             | 3m 47s       | 7.25%            |
| 1250             | 3m 51s       | 7.25%            |
| 1275             | 3m 56s       | 7.5%             |
| 1300             | 4m 1s        | 7.75%            |
| 1325             | 4m 5s        | 7.75%            |
| 1350             | 4m 10s       | 8%               |
| 1375             | 4m 14s       | 8%               |
| 1400             | 4m 19s       | 8.25%            |
| 1425             | 4m 24s       | 8.5%             |
| 1450             | 4m 28s       | 8.5%             |
| 1475             | 4m 33s       | 8.75%            |
| 1500             | 4m 37s       | 8.75%            |
| 1525             | 4m 42s       | 9%               |
| 1550             | 4m 47s       | 9.25%            |
| 1575             | 4m 51s       | 9.25%            |
| 1600             | 4m 56s       | 9.5%             |
| 1625             | 5m 0s        | 9.5%             |
| 1650             | 5m 5s        | 9.75%            |
| 1675             | 5m 10s       | 10%              |
| 1700             | 5m 14s       | 10%              |
| 1725             | 5m 19s       | 10.25%           |
| 1750             | 5m 23s       | 10.25%           |
| 1775             | 5m 28s       | 10.5%            |
| 1800             | 5m 33s       | 10.75%           |
| 1825             | 5m 37s       | 10.75%           |
| 1850             | 5m 42s       | 11%              |
| 1875             | 5m 46s       | 11%              |
| 1900             | 5m 51s       | 11.25%           |
| 1925             | 5m 56s       | 11.5%            |
| 1950             | 6m 0s        | 11.5%            |
| 1975             | 6m 5s        | 11.75%           |
| 2000             | 6m 9s        | 11.75%           |
| 2025             | 6m 14s       | 12%              |
| 2050             | 6m 19s       | 12.25%           |
| 2075             | 6m 23s       | 12.25%           |
| 2100             | 6m 28s       | 12.5%            |
| 2125             | 6m 32s       | 12.5%            |
| 2150             | 6m 37s       | 12.75%           |
| 2175             | 6m 42s       | 13%              |
| 2200             | 6m 46s       | 13%              |
| 2225             | 6m 51s       | 13.25%           |
| 2250             | 6m 56s       | 13.25%           |
| 2275             | 7m 0s        | 13.5%            |
| 2300             | 7m 5s        | 13.75%           |
| 2325             | 7m 9s        | 13.75%           |
| 2350             | 7m 14s       | 14%              |
| 2375             | 7m 18s       | 14%              |
| 2400             | 7m 23s       | 14.25%           |
| 2425             | 7m 28s       | 14.5%            |
| 2450             | 7m 32s       | 14.5%            |
| 2475             | 7m 37s       | 14.75%           |
| 2500             | 7m 41s       | 14.75%           |
| 2525             | 7m 46s       | 15%              |
| 2550             | 7m 51s       | 15.25%           |
| 2575             | 7m 55s       | 15.25%           |
| 2600             | 8m 0s        | 15.5%            |
| 2625             | 8m 5s        | 15.5%            |
| 2650             | 8m 9s        | 15.75%           |
| 2675             | 8m 14s       | 16%              |
| 2700             | 8m 18s       | 16%              |
| 2725             | 8m 23s       | 16.25%           |
| 2750             | 8m 28s       | 16.25%           |
| 2775             | 8m 32s       | 16.5%            |
| 2800             | 8m 37s       | 16.75%           |
| 2825             | 8m 41s       | 16.75%           |
| 2850             | 8m 46s       | 17%              |
| 2875             | 8m 51s       | 17%              |
| 2900             | 8m 55s       | 17.25%           |
| 2925             | 9m 0s        | 17.5%            |
| 2950             | 9m 4s        | 17.5%            |
| 2975             | 9m 9s        | 17.75%           |
| 3000             | 9m 14s       | 17.75%           |
| 3025             | 9m 18s       | 18%              |
| 3050             | 9m 23s       | 18.25%           |
| 3075             | 9m 27s       | 18.25%           |
| 3100             | 9m 32s       | 18.5%            |
| 3125             | 9m 37s       | 18.5%            |
| 3150             | 9m 41s       | 18.75%           |
| 3175             | 9m 46s       | 19%              |
| 3200             | 9m 50s       | 19%              |
| 3225             | 9m 55s       | 19.25%           |
| 3250             | 10m 0s       | 19.25%           |
| 3275             | 10m 4s       | 19.5%            |
| 3300             | 10m 9s       | 19.75%           |
| 3325             | 10m 13s      | 19.75%           |
| 3350             | 10m 18s      | 20%              |
| 3375             | 10m 23s      | 20%              |
| 3400             | 10m 27s      | 20.25%           |
| 3425             | 10m 32s      | 20.5%            |
| 3450             | 10m 36s      | 20.5%            |
| 3475             | 10m 41s      | 20.75%           |
| 3500             | 10m 46s      | 20.75%           |
| 3525             | 10m 50s      | 21%              |
| 3550             | 10m 55s      | 21%              |
| 3575             | 11m 0s       | 21.25%           |
| 3600             | 11m 4s       | 21.5%            |
| 3625             | 11m 9s       | 21.5%            |
| 3650             | 11m 13s      | 21.75%           |
| 3675             | 11m 18s      | 21.75%           |
| 3700             | 11m 23s      | 22%              |
| 3725             | 11m 27s      | 22.25%           |
| 3750             | 11m 32s      | 22.25%           |
| 3775             | 11m 37s      | 22.5%            |
| 3800             | 11m 41s      | 22.5%            |
