No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17995 images in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
+------------------+--------------+------------------+
2019-06-14 09:39:06.529211+0200 DistractedDriverCreateML[10590:522937] Metal API Validation Enabled
2019-06-14 09:39:06.691965+0200 DistractedDriverCreateML[10590:522937] flock failed to lock maps file: errno = 35
2019-06-14 09:39:06.899117+0200 DistractedDriverCreateML[10590:522937] flock failed to lock maps file: errno = 35
| 1                | 1.89s        | 0%               |
| 2                | 2.20s        | 0%               |
| 3                | 2.44s        | 0%               |
| 4                | 2.65s        | 0%               |
| 5                | 2.85s        | 0%               |
| 10               | 3.81s        | 0%               |
| 25               | 6.67s        | 0%               |
| 50               | 11.32s       | 0.25%            |
| 75               | 15.93s       | 0.25%            |
| 100              | 20.70s       | 0.5%             |
| 125              | 25.59s       | 0.5%             |
| 150              | 30.25s       | 0.75%            |
| 175              | 34.88s       | 0.75%            |
| 200              | 39.52s       | 1%               |
| 225              | 44.12s       | 1.25%            |
| 250              | 48.73s       | 1.25%            |
| 275              | 53.39s       | 1.5%             |
| 300              | 58.11s       | 1.5%             |
| 325              | 1m 2s        | 1.75%            |
| 350              | 1m 7s        | 1.75%            |
| 375              | 1m 12s       | 2%               |
| 400              | 1m 16s       | 2%               |
| 425              | 1m 21s       | 2.25%            |
| 450              | 1m 26s       | 2.5%             |
| 475              | 1m 31s       | 2.5%             |
| 500              | 1m 35s       | 2.75%            |
| 525              | 1m 40s       | 2.75%            |
| 550              | 1m 45s       | 3%               |
| 575              | 1m 49s       | 3%               |
| 600              | 1m 54s       | 3.25%            |
| 625              | 1m 59s       | 3.25%            |
| 650              | 2m 4s        | 3.5%             |
| 675              | 2m 8s        | 3.75%            |
| 700              | 2m 13s       | 3.75%            |
| 725              | 2m 18s       | 4%               |
| 750              | 2m 23s       | 4%               |
| 775              | 2m 27s       | 4.25%            |
| 800              | 2m 32s       | 4.25%            |
| 825              | 2m 37s       | 4.5%             |
| 850              | 2m 41s       | 4.5%             |
| 875              | 2m 46s       | 4.75%            |
| 900              | 2m 51s       | 5%               |
| 925              | 2m 55s       | 5%               |
| 950              | 3m 0s        | 5.25%            |
| 975              | 3m 4s        | 5.25%            |
| 1000             | 3m 9s        | 5.5%             |
| 1025             | 3m 14s       | 5.5%             |
| 1050             | 3m 18s       | 5.75%            |
| 1075             | 3m 23s       | 5.75%            |
| 1100             | 3m 28s       | 6%               |
| 1125             | 3m 32s       | 6.25%            |
| 1150             | 3m 37s       | 6.25%            |
| 1175             | 3m 42s       | 6.5%             |
| 1200             | 3m 46s       | 6.5%             |
| 1225             | 3m 51s       | 6.75%            |
| 1250             | 3m 55s       | 6.75%            |
| 1275             | 4m 0s        | 7%               |
| 1300             | 4m 5s        | 7%               |
| 1325             | 4m 9s        | 7.25%            |
| 1350             | 4m 14s       | 7.5%             |
| 1375             | 4m 18s       | 7.5%             |
| 1400             | 4m 23s       | 7.75%            |
| 1425             | 4m 28s       | 7.75%            |
| 1450             | 4m 32s       | 8%               |
| 1475             | 4m 37s       | 8%               |
| 1500             | 4m 41s       | 8.25%            |
| 1525             | 4m 46s       | 8.25%            |
| 1550             | 4m 51s       | 8.5%             |
| 1575             | 4m 55s       | 8.75%            |
| 1600             | 5m 0s        | 8.75%            |
| 1625             | 5m 4s        | 9%               |
| 1650             | 5m 9s        | 9%               |
| 1675             | 5m 14s       | 9.25%            |
| 1700             | 5m 18s       | 9.25%            |
| 1725             | 5m 23s       | 9.5%             |
| 1750             | 5m 27s       | 9.5%             |
| 1775             | 5m 32s       | 9.75%            |
| 1800             | 5m 37s       | 10%              |
| 1825             | 5m 41s       | 10%              |
| 1850             | 5m 46s       | 10.25%           |
| 1875             | 5m 51s       | 10.25%           |
| 1900             | 5m 55s       | 10.5%            |
| 1925             | 6m 0s        | 10.5%            |
| 1950             | 6m 4s        | 10.75%           |
| 1975             | 6m 9s        | 10.75%           |
| 2000             | 6m 14s       | 11%              |
| 2025             | 6m 18s       | 11.25%           |
| 2050             | 6m 23s       | 11.25%           |
| 2075             | 6m 27s       | 11.5%            |
| 2100             | 6m 32s       | 11.5%            |
| 2125             | 6m 37s       | 11.75%           |
| 2150             | 6m 41s       | 11.75%           |
| 2175             | 6m 46s       | 12%              |
| 2200             | 6m 50s       | 12%              |
| 2225             | 6m 55s       | 12.25%           |
| 2250             | 7m 0s        | 12.5%            |
| 2275             | 7m 4s        | 12.5%            |
| 2300             | 7m 9s        | 12.75%           |
| 2325             | 7m 13s       | 12.75%           |
| 2350             | 7m 18s       | 13%              |
| 2375             | 7m 23s       | 13%              |
| 2400             | 7m 27s       | 13.25%           |
| 2425             | 7m 32s       | 13.25%           |
| 2450             | 7m 37s       | 13.5%            |
| 2475             | 7m 41s       | 13.75%           |
