No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17973 in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
+------------------+--------------+------------------+
| 1                | 2.13s        | 0%               |
| 2                | 2.46s        | 0%               |
| 3                | 2.71s        | 0%               |
| 4                | 2.94s        | 0%               |
| 5                | 3.14s        | 0%               |
| 10               | 4.12s        | 0%               |
| 25               | 6.91s        | 0%               |
| 50               | 11.48s       | 0.25%            |
| 75               | 15.97s       | 0.25%            |
| 100              | 20.47s       | 0.5%             |
| 125              | 24.99s       | 0.5%             |
| 150              | 29.46s       | 0.75%            |
| 175              | 33.95s       | 0.75%            |
| 200              | 38.46s       | 1%               |
| 225              | 43.42s       | 1.25%            |
| 250              | 47.90s       | 1.25%            |
| 275              | 52.43s       | 1.5%             |
| 300              | 56.93s       | 1.5%             |
| 325              | 1m 1s        | 1.75%            |
| 350              | 1m 5s        | 1.75%            |
| 375              | 1m 10s       | 2%               |
| 400              | 1m 14s       | 2%               |
| 425              | 1m 19s       | 2.25%            |
| 450              | 1m 23s       | 2.5%             |
| 475              | 1m 28s       | 2.5%             |
| 500              | 1m 33s       | 2.75%            |
| 525              | 1m 37s       | 2.75%            |
| 550              | 1m 42s       | 3%               |
| 575              | 1m 46s       | 3%               |
| 600              | 1m 51s       | 3.25%            |
| 625              | 1m 55s       | 3.25%            |
| 650              | 2m 0s        | 3.5%             |
| 675              | 2m 4s        | 3.75%            |
| 700              | 2m 8s        | 3.75%            |
| 725              | 2m 13s       | 4%               |
| 750              | 2m 17s       | 4%               |
| 775              | 2m 22s       | 4.25%            |
| 800              | 2m 26s       | 4.25%            |
| 825              | 2m 31s       | 4.5%             |
| 850              | 2m 35s       | 4.5%             |
| 875              | 2m 40s       | 4.75%            |
| 900              | 2m 44s       | 5%               |
| 925              | 2m 49s       | 5%               |
| 950              | 2m 53s       | 5.25%            |
| 975              | 2m 58s       | 5.25%            |
| 1000             | 3m 2s        | 5.5%             |
| 1025             | 3m 7s        | 5.5%             |
| 1050             | 3m 11s       | 5.75%            |
| 1075             | 3m 16s       | 5.75%            |
| 1100             | 3m 20s       | 6%               |
| 1125             | 3m 25s       | 6.25%            |
| 1150             | 3m 29s       | 6.25%            |
| 1175             | 3m 34s       | 6.5%             |
| 1200             | 3m 38s       | 6.5%             |
| 1225             | 3m 43s       | 6.75%            |
| 1250             | 3m 47s       | 6.75%            |
| 1275             | 3m 51s       | 7%               |
| 1300             | 3m 56s       | 7%               |
| 1325             | 4m 0s        | 7.25%            |
| 1350             | 4m 5s        | 7.5%             |
| 1375             | 4m 9s        | 7.5%             |
| 1400             | 4m 14s       | 7.75%            |
| 1425             | 4m 18s       | 7.75%            |
| 1450             | 4m 22s       | 8%               |
| 1475             | 4m 27s       | 8%               |
| 1500             | 4m 31s       | 8.25%            |
| 1525             | 4m 36s       | 8.25%            |
| 1550             | 4m 40s       | 8.5%             |
| 1575             | 4m 45s       | 8.75%            |
| 1600             | 4m 49s       | 8.75%            |
| 1625             | 4m 54s       | 9%               |
| 1650             | 4m 58s       | 9%               |
| 1675             | 5m 3s        | 9.25%            |
| 1700             | 5m 7s        | 9.25%            |
| 1725             | 5m 12s       | 9.5%             |
| 1750             | 5m 16s       | 9.5%             |
| 1775             | 5m 21s       | 9.75%            |
| 1800             | 5m 25s       | 10%              |
| 1825             | 5m 30s       | 10%              |
| 1850             | 5m 34s       | 10.25%           |
| 1875             | 5m 38s       | 10.25%           |
| 1900             | 5m 43s       | 10.5%            |
| 1925             | 5m 47s       | 10.5%            |
| 1950             | 5m 52s       | 10.75%           |
| 1975             | 5m 56s       | 10.75%           |
| 2000             | 6m 1s        | 11%              |
| 2025             | 6m 5s        | 11.25%           |
| 2050             | 6m 10s       | 11.25%           |
| 2075             | 6m 14s       | 11.5%            |
| 2100             | 6m 19s       | 11.5%            |
| 2125             | 6m 23s       | 11.75%           |
| 2150             | 6m 28s       | 11.75%           |
| 2175             | 6m 32s       | 12%              |
| 2200             | 6m 37s       | 12%              |
| 2225             | 6m 41s       | 12.25%           |
| 2250             | 6m 45s       | 12.5%            |
| 2275             | 6m 50s       | 12.5%            |
| 2300             | 6m 55s       | 12.75%           |
