No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17973 images in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
+------------------+--------------+------------------+
| 1                | 2.20s        | 0%               |
| 2                | 2.79s        | 0%               |
| 3                | 3.39s        | 0%               |
| 4                | 3.99s        | 0%               |
| 5                | 4.58s        | 0%               |
| 10               | 7.56s        | 0%               |
| 20               | 13.52s       | 0%               |
| 30               | 19.47s       | 0%               |
| 40               | 25.43s       | 0%               |
| 50               | 31.39s       | 0.25%            |
| 60               | 37.35s       | 0.25%            |
| 70               | 43.31s       | 0.25%            |
| 80               | 49.26s       | 0.25%            |
| 90               | 55.22s       | 0.5%             |
| 100              | 1m 1s        | 0.5%             |
| 110              | 1m 7s        | 0.5%             |
| 120              | 1m 13s       | 0.5%             |
| 130              | 1m 19s       | 0.5%             |
| 140              | 1m 25s       | 0.75%            |
| 150              | 1m 30s       | 0.75%            |
| 160              | 1m 36s       | 0.75%            |
| 170              | 1m 42s       | 0.75%            |
| 180              | 1m 48s       | 1%               |
| 190              | 1m 54s       | 1%               |
| 200              | 2m 0s        | 1%               |
| 210              | 2m 6s        | 1%               |
| 220              | 2m 12s       | 1%               |
| 230              | 2m 18s       | 1.25%            |
| 240              | 2m 24s       | 1.25%            |
| 250              | 2m 30s       | 1.25%            |
| 260              | 2m 36s       | 1.25%            |
| 270              | 2m 42s       | 1.5%             |
| 280              | 2m 48s       | 1.5%             |
| 290              | 2m 54s       | 1.5%             |
| 300              | 3m 0s        | 1.5%             |
| 310              | 3m 6s        | 1.5%             |
| 320              | 3m 12s       | 1.75%            |
| 330              | 3m 18s       | 1.75%            |
| 340              | 3m 24s       | 1.75%            |
| 350              | 3m 30s       | 1.75%            |
| 360              | 3m 36s       | 2%               |
| 370              | 3m 42s       | 2%               |
| 380              | 3m 47s       | 2%               |
| 390              | 3m 53s       | 2%               |
| 400              | 3m 59s       | 2%               |
| 410              | 4m 5s        | 2.25%            |
| 420              | 4m 11s       | 2.25%            |
| 430              | 4m 17s       | 2.25%            |
| 440              | 4m 23s       | 2.25%            |
| 450              | 4m 29s       | 2.5%             |
| 460              | 4m 35s       | 2.5%             |
| 470              | 4m 41s       | 2.5%             |
| 480              | 4m 47s       | 2.5%             |
| 490              | 4m 53s       | 2.5%             |
| 500              | 4m 59s       | 2.75%            |
| 510              | 5m 5s        | 2.75%            |
| 520              | 5m 11s       | 2.75%            |
| 530              | 5m 17s       | 2.75%            |
| 540              | 5m 23s       | 3%               |
| 550              | 5m 29s       | 3%               |
| 560              | 5m 35s       | 3%               |
| 570              | 5m 41s       | 3%               |
| 580              | 5m 47s       | 3%               |
| 590              | 5m 53s       | 3.25%            |
| 600              | 5m 59s       | 3.25%            |
| 610              | 6m 6s        | 3.25%            |
| 620              | 6m 12s       | 3.25%            |
| 630              | 6m 18s       | 3.5%             |
| 640              | 6m 24s       | 3.5%             |
| 650              | 6m 30s       | 3.5%             |
| 660              | 6m 36s       | 3.5%             |
| 670              | 6m 42s       | 3.5%             |
| 680              | 6m 48s       | 3.75%            |
| 690              | 6m 54s       | 3.75%            |
| 700              | 7m 0s        | 3.75%            |
| 710              | 7m 6s        | 3.75%            |
| 720              | 7m 12s       | 4%               |
| 730              | 7m 18s       | 4%               |
| 740              | 7m 24s       | 4%               |
| 750              | 7m 30s       | 4%               |
| 760              | 7m 36s       | 4%               |
| 770              | 7m 42s       | 4.25%            |
| 780              | 7m 48s       | 4.25%            |
| 790              | 7m 54s       | 4.25%            |
| 800              | 8m 0s        | 4.25%            |
| 810              | 8m 6s        | 4.5%             |
| 820              | 8m 12s       | 4.5%             |
| 830              | 8m 18s       | 4.5%             |
| 840              | 8m 24s       | 4.5%             |
| 850              | 8m 30s       | 4.5%             |
| 860              | 8m 36s       | 4.75%            |
| 870              | 8m 42s       | 4.75%            |
| 880              | 8m 48s       | 4.75%            |
| 890              | 8m 54s       | 4.75%            |
| 900              | 9m 0s        | 5%               |
| 910              | 9m 6s        | 5%               |
| 920              | 9m 12s       | 5%               |
| 930              | 9m 18s       | 5%               |
| 940              | 9m 24s       | 5%               |
| 950              | 9m 30s       | 5.25%            |
| 960              | 9m 36s       | 5.25%            |
| 970              | 9m 43s       | 5.25%            |
| 980              | 9m 49s       | 5.25%            |
| 990              | 9m 55s       | 5.5%             |
| 1000             | 10m 1s       | 5.5%             |
| 1010             | 10m 7s       | 5.5%             |
| 1020             | 10m 13s      | 5.5%             |
| 1030             | 10m 19s      | 5.5%             |
| 1040             | 10m 25s      | 5.75%            |
| 1050             | 10m 31s      | 5.75%            |
| 1060             | 10m 37s      | 5.75%            |
| 1070             | 10m 43s      | 5.75%            |
| 1080             | 10m 49s      | 6%               |
| 1090             | 10m 55s      | 6%               |
| 1100             | 11m 1s       | 6%               |
| 1110             | 11m 7s       | 6%               |
| 1120             | 11m 13s      | 6%               |
| 1130             | 11m 19s      | 6.25%            |
| 1140             | 11m 25s      | 6.25%            |
| 1150             | 11m 31s      | 6.25%            |
| 1160             | 11m 37s      | 6.25%            |
| 1170             | 11m 43s      | 6.5%             |
| 1180             | 11m 49s      | 6.5%             |
| 1190             | 11m 55s      | 6.5%             |
| 1200             | 12m 1s       | 6.5%             |
| 1210             | 12m 7s       | 6.5%             |
| 1220             | 12m 13s      | 6.75%            |
| 1230             | 12m 19s      | 6.75%            |
| 1240             | 12m 25s      | 6.75%            |
| 1250             | 12m 31s      | 6.75%            |
| 1260             | 12m 37s      | 7%               |
| 1270             | 12m 43s      | 7%               |
| 1280             | 12m 49s      | 7%               |
| 1290             | 12m 55s      | 7%               |
| 1300             | 13m 1s       | 7%               |
| 1310             | 13m 7s       | 7.25%            |
| 1320             | 13m 13s      | 7.25%            |
| 1330             | 13m 19s      | 7.25%            |
| 1340             | 13m 25s      | 7.25%            |
| 1350             | 13m 31s      | 7.5%             |
| 1360             | 13m 37s      | 7.5%             |
| 1370             | 13m 43s      | 7.5%             |
| 1380             | 13m 49s      | 7.5%             |
| 1390             | 13m 55s      | 7.5%             |
| 1400             | 14m 1s       | 7.75%            |
| 1410             | 14m 7s       | 7.75%            |
| 1420             | 14m 13s      | 7.75%            |
| 1430             | 14m 19s      | 7.75%            |
| 1440             | 14m 25s      | 8%               |
| 1450             | 14m 31s      | 8%               |
| 1460             | 14m 37s      | 8%               |
| 1470             | 14m 43s      | 8%               |
| 1480             | 14m 49s      | 8%               |
| 1490             | 14m 55s      | 8.25%            |
| 1500             | 15m 1s       | 8.25%            |
| 1510             | 15m 7s       | 8.25%            |
| 1520             | 15m 13s      | 8.25%            |
| 1530             | 15m 19s      | 8.5%             |
| 1540             | 15m 25s      | 8.5%             |
| 1550             | 15m 31s      | 8.5%             |
| 1560             | 15m 38s      | 8.5%             |
| 1570             | 15m 44s      | 8.5%             |
| 1580             | 15m 49s      | 8.75%            |
| 1590             | 15m 55s      | 8.75%            |
| 1600             | 16m 1s       | 8.75%            |
| 1610             | 16m 8s       | 8.75%            |
| 1620             | 16m 14s      | 9%               |
| 1630             | 16m 20s      | 9%               |
| 1640             | 16m 26s      | 9%               |
| 1650             | 16m 32s      | 9%               |
| 1660             | 16m 38s      | 9%               |
| 1670             | 16m 44s      | 9.25%            |
| 1680             | 16m 50s      | 9.25%            |
| 1690             | 16m 56s      | 9.25%            |
| 1700             | 17m 2s       | 9.25%            |
| 1710             | 17m 8s       | 9.5%             |
| 1720             | 17m 14s      | 9.5%             |
| 1730             | 17m 20s      | 9.5%             |
| 1740             | 17m 26s      | 9.5%             |
| 1750             | 17m 32s      | 9.5%             |
| 1760             | 17m 38s      | 9.75%            |
| 1770             | 17m 44s      | 9.75%            |
| 1780             | 17m 50s      | 9.75%            |
| 1790             | 17m 56s      | 9.75%            |
| 1800             | 18m 2s       | 10%              |
| 1810             | 18m 8s       | 10%              |
| 1820             | 18m 14s      | 10%              |
| 1830             | 18m 20s      | 10%              |
| 1840             | 18m 26s      | 10%              |
| 1850             | 18m 32s      | 10.25%           |
| 1860             | 18m 38s      | 10.25%           |
| 1870             | 18m 44s      | 10.25%           |
| 1880             | 18m 50s      | 10.25%           |
| 1890             | 18m 56s      | 10.5%            |
| 1900             | 19m 2s       | 10.5%            |
| 1910             | 19m 8s       | 10.5%            |
| 1920             | 19m 14s      | 10.5%            |
| 1930             | 19m 20s      | 10.5%            |
| 1940             | 19m 26s      | 10.75%           |
| 1950             | 19m 32s      | 10.75%           |
| 1960             | 19m 38s      | 10.75%           |
| 1970             | 19m 44s      | 10.75%           |
| 1980             | 19m 50s      | 11%              |
