No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17995 images in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
+------------------+--------------+------------------+
| 1                | 2.11s        | 0%               |
| 2                | 2.38s        | 0%               |
| 3                | 2.60s        | 0%               |
| 4                | 2.81s        | 0%               |
| 5                | 3.01s        | 0%               |
| 10               | 3.93s        | 0%               |
| 25               | 6.62s        | 0%               |
| 50               | 11.14s       | 0.25%            |
| 75               | 15.64s       | 0.25%            |
| 100              | 20.09s       | 0.5%             |
| 125              | 24.56s       | 0.5%             |
| 150              | 29.00s       | 0.75%            |
| 175              | 33.43s       | 0.75%            |
| 200              | 37.86s       | 1%               |
| 225              | 42.29s       | 1.25%            |
| 250              | 46.72s       | 1.25%            |
| 275              | 51.16s       | 1.5%             |
| 300              | 55.58s       | 1.5%             |
| 325              | 1m 0s        | 1.75%            |
| 350              | 1m 4s        | 1.75%            |
| 375              | 1m 8s        | 2%               |
| 400              | 1m 13s       | 2%               |
| 425              | 1m 17s       | 2.25%            |
| 450              | 1m 22s       | 2.5%             |
| 475              | 1m 26s       | 2.5%             |
| 500              | 1m 31s       | 2.75%            |
| 525              | 1m 35s       | 2.75%            |
| 550              | 1m 39s       | 3%               |
| 575              | 1m 44s       | 3%               |
| 600              | 1m 48s       | 3.25%            |
| 625              | 1m 53s       | 3.25%            |
| 650              | 1m 57s       | 3.5%             |
| 675              | 2m 2s        | 3.75%            |
| 700              | 2m 6s        | 3.75%            |
| 725              | 2m 10s       | 4%               |
| 750              | 2m 15s       | 4%               |
| 775              | 2m 19s       | 4.25%            |
| 800              | 2m 24s       | 4.25%            |
| 825              | 2m 28s       | 4.5%             |
| 850              | 2m 33s       | 4.5%             |
| 875              | 2m 37s       | 4.75%            |
| 900              | 2m 41s       | 5%               |
| 925              | 2m 46s       | 5%               |
| 950              | 2m 50s       | 5.25%            |
| 975              | 2m 55s       | 5.25%            |
| 1000             | 2m 59s       | 5.5%             |
| 1025             | 3m 4s        | 5.5%             |
| 1050             | 3m 8s        | 5.75%            |
| 1075             | 3m 12s       | 5.75%            |
| 1100             | 3m 17s       | 6%               |
| 1125             | 3m 21s       | 6.25%            |
| 1150             | 3m 26s       | 6.25%            |
| 1175             | 3m 30s       | 6.5%             |
| 1200             | 3m 35s       | 6.5%             |
| 1225             | 3m 39s       | 6.75%            |
| 1250             | 3m 43s       | 6.75%            |
| 1275             | 3m 48s       | 7%               |
| 1300             | 3m 52s       | 7%               |
| 1325             | 3m 57s       | 7.25%            |
| 1350             | 4m 1s        | 7.5%             |
| 1375             | 4m 6s        | 7.5%             |
| 1400             | 4m 10s       | 7.75%            |
| 1425             | 4m 14s       | 7.75%            |
| 1450             | 4m 19s       | 8%               |
| 1475             | 4m 23s       | 8%               |
| 1500             | 4m 28s       | 8.25%            |
| 1525             | 4m 32s       | 8.25%            |
| 1550             | 4m 37s       | 8.5%             |
| 1575             | 4m 41s       | 8.75%            |
| 1600             | 4m 46s       | 8.75%            |
| 1625             | 4m 50s       | 9%               |
| 1650             | 4m 54s       | 9%               |
| 1675             | 4m 59s       | 9.25%            |
| 1700             | 5m 3s        | 9.25%            |
| 1725             | 5m 8s        | 9.5%             |
| 1750             | 5m 12s       | 9.5%             |
| 1775             | 5m 17s       | 9.75%            |
| 1800             | 5m 21s       | 10%              |
| 1825             | 5m 25s       | 10%              |
| 1850             | 5m 30s       | 10.25%           |
| 1875             | 5m 34s       | 10.25%           |
| 1900             | 5m 39s       | 10.5%            |
| 1925             | 5m 43s       | 10.5%            |
| 1950             | 5m 48s       | 10.75%           |
| 1975             | 5m 52s       | 10.75%           |
| 2000             | 5m 56s       | 11%              |
| 2025             | 6m 1s        | 11.25%           |
| 2050             | 6m 5s        | 11.25%           |
| 2075             | 6m 10s       | 11.5%            |
| 2100             | 6m 14s       | 11.5%            |
| 2125             | 6m 19s       | 11.75%           |
| 2150             | 6m 23s       | 11.75%           |
| 2175             | 6m 27s       | 12%              |
| 2200             | 6m 32s       | 12%              |
| 2225             | 6m 36s       | 12.25%           |
| 2250             | 6m 41s       | 12.5%            |
| 2275             | 6m 45s       | 12.5%            |
| 2300             | 6m 50s       | 12.75%           |
| 2325             | 6m 54s       | 12.75%           |
| 2350             | 6m 58s       | 13%              |
| 2375             | 7m 3s        | 13%              |
| 2400             | 7m 7s        | 13.25%           |
| 2425             | 7m 12s       | 13.25%           |
| 2450             | 7m 16s       | 13.5%            |
| 2475             | 7m 21s       | 13.75%           |
| 2500             | 7m 25s       | 13.75%           |
| 2525             | 7m 29s       | 14%              |
| 2550             | 7m 34s       | 14%              |
| 2575             | 7m 38s       | 14.25%           |
| 2600             | 7m 43s       | 14.25%           |
| 2625             | 7m 47s       | 14.5%            |
| 2650             | 7m 52s       | 14.5%            |
| 2675             | 7m 56s       | 14.75%           |
| 2700             | 8m 0s        | 15%              |
| 2725             | 8m 5s        | 15%              |
| 2750             | 8m 9s        | 15.25%           |
| 2775             | 8m 14s       | 15.25%           |
| 2800             | 8m 18s       | 15.5%            |
| 2825             | 8m 23s       | 15.5%            |
| 2850             | 8m 27s       | 15.75%           |
| 2875             | 8m 32s       | 15.75%           |
| 2900             | 8m 36s       | 16%              |
| 2925             | 8m 40s       | 16.25%           |
| 2950             | 8m 45s       | 16.25%           |
| 2975             | 8m 49s       | 16.5%            |
| 3000             | 8m 54s       | 16.5%            |
| 3025             | 8m 58s       | 16.75%           |
| 3050             | 9m 3s        | 16.75%           |
| 3075             | 9m 7s        | 17%              |
| 3100             | 9m 11s       | 17%              |
| 3125             | 9m 16s       | 17.25%           |
